0.1,0.0175,32359
0.15,0.0175,15950
0.2,0.0175,9605
0.25,0.0175,6877
0.3,0.0175,5156
0.35,0.0175,4360
0.4,0.0175,3481
0.45,0.0175,3063
0.5,0.0175,2774
0.55,0.0175,2346
0.6,0.0175,2150
0.65,0.0175,1985
0.7,0.0175,1843
0.75,0.0175,1610
0.8,0.0175,1446
0.85,0.0175,1360
0.9,0.0175,1285
0.95,0.0175,1213
1.0,0.0175,1156
1.05,0.0175,1022
1.1,0.0175,976
1.15,0.0175,933
1.2,0.0175,894
1.25,0.0175,859
1.3,0.0175,786
1.35,0.0175,765
1.4,0.0175,730
1.45,0.0175,705
1.5,0.0175,681
1.55,0.0175,659
1.6,0.0175,639
1.65,0.0175,619
1.7,0.0175,601
1.75,0.0175,584
1.8,0.0175,567
1.85,0.0175,552
1.9,0.0175,537
1.95,0.0175,524
2.0,0.0175,510
2.05,0.0175,498
2.1,0.0175,486
2.15,0.0175,475
2.2,0.0175,464
2.25,0.0175,454
2.3,0.0175,444
2.35,0.0175,434
2.4,0.0175,425
2.45,0.0175,416
2.5,0.0175,408
2.55,0.0175,400
2.6,0.0175,392
2.65,0.0175,385
2.7,0.0175,378
2.75,0.0175,371
2.8,0.0175,364
2.85,0.0175,358
2.9,0.0175,351
2.95,0.0175,345
3.0,0.0175,340
3.05,0.0175,334
3.1,0.0175,329
3.15,0.0175,323
3.2,0.0175,318
3.25,0.0175,313
3.3,0.0175,309
3.35,0.0175,304
3.4,0.0175,300
3.45,0.0175,295
3.5,0.0175,291
3.55,0.0175,287
3.6,0.0175,283
3.65,0.0175,279
3.7,0.0175,275
3.75,0.0175,271
3.8,0.0175,268
3.85,0.0175,264
3.9,0.0175,261
3.95,0.0175,258
4.0,0.0175,254
4.05,0.0175,251
4.1,0.0175,248
4.15,0.0175,245
4.2,0.0175,223
4.25,0.0175,239
4.3,0.0175,236
4.35,0.0175,234
4.4,0.0175,231
4.45,0.0175,228
4.5,0.0175,208
4.55,0.0175,205
4.6,0.0175,203
4.65,0.0175,202
4.7,0.0175,188
4.75,0.0175,187
4.8,0.0175,184
4.85,0.0175,193
4.9,0.0175,180
4.95,0.0175,178
5.0,0.0175,189
0.1,0.02,34587
0.15,0.02,15484
0.2,0.02,9329
0.25,0.02,6703
0.3,0.02,5256
0.35,0.02,3921
0.4,0.02,3522
0.45,0.02,3016
0.5,0.02,2522
0.55,0.02,2292
0.6,0.02,2103
0.65,0.02,1893
0.7,0.02,1683
0.75,0.02,1503
0.8,0.02,1409
0.85,0.02,1326
0.9,0.02,1252
0.95,0.02,1186
1.0,0.02,1127
1.05,0.02,1024
1.1,0.02,903
1.15,0.02,908
1.2,0.02,870
1.25,0.02,794
1.3,0.02,764
1.35,0.02,735
1.4,0.02,709
1.45,0.02,685
1.5,0.02,662
1.55,0.02,640
1.6,0.02,620
1.65,0.02,601
1.7,0.02,584
1.75,0.02,567
1.8,0.02,551
1.85,0.02,536
1.9,0.02,522
1.95,0.02,509
2.0,0.02,496
2.05,0.02,484
2.1,0.02,472
2.15,0.02,461
2.2,0.02,451
2.25,0.02,441
2.3,0.02,431
2.35,0.02,422
2.4,0.02,413
2.45,0.02,404
2.5,0.02,396
2.55,0.02,389
2.6,0.02,381
2.65,0.02,374
2.7,0.02,367
2.75,0.02,360
2.8,0.02,354
2.85,0.02,347
2.9,0.02,341
2.95,0.02,336
3.0,0.02,330
3.05,0.02,325
3.1,0.02,319
3.15,0.02,314
3.2,0.02,309
3.25,0.02,304
3.3,0.02,300
3.35,0.02,295
3.4,0.02,291
3.45,0.02,287
3.5,0.02,283
3.55,0.02,279
3.6,0.02,275
3.65,0.02,271
3.7,0.02,267
3.75,0.02,264
3.8,0.02,241
3.85,0.02,257
3.9,0.02,248
3.95,0.02,250
4.0,0.02,247
4.05,0.02,244
4.1,0.02,241
4.15,0.02,238
4.2,0.02,235
4.25,0.02,232
4.3,0.02,230
4.35,0.02,227
4.4,0.02,224
4.45,0.02,222
4.5,0.02,219
4.55,0.02,188
4.6,0.02,215
4.65,0.02,184
4.7,0.02,210
4.75,0.02,180
4.8,0.02,178
4.85,0.02,176
4.9,0.02,185
4.95,0.02,183
5.0,0.02,171
0.1,0.0225,35539
0.15,0.0225,14294
0.2,0.0225,8947
0.25,0.0225,6624
0.3,0.0225,4885
0.35,0.0225,4032
0.4,0.0225,3330
0.45,0.0225,2858
0.5,0.0225,2560
0.55,0.0225,2270
0.6,0.0225,2058
0.65,0.0225,1773
0.7,0.0225,1573
0.75,0.0225,1468
0.8,0.0225,1376
0.85,0.0225,1295
0.9,0.0225,1223
0.95,0.0225,1159
1.0,0.0225,1020
1.05,0.0225,1041
1.1,0.0225,972
1.15,0.0225,885
1.2,0.0225,848
1.25,0.0225,774
1.3,0.0225,744
1.35,0.0225,716
1.4,0.0225,691
1.45,0.0225,667
1.5,0.0225,644
1.55,0.0225,624
1.6,0.0225,604
1.65,0.0225,586
1.7,0.0225,568
1.75,0.0225,552
1.8,0.0225,537
1.85,0.0225,522
1.9,0.0225,508
1.95,0.0225,495
2.0,0.0225,483
2.05,0.0225,471
2.1,0.0225,460
2.15,0.0225,449
2.2,0.0225,439
2.25,0.0225,429
2.3,0.0225,420
2.35,0.0225,411
2.4,0.0225,402
2.45,0.0225,394
2.5,0.0225,386
2.55,0.0225,378
2.6,0.0225,371
2.65,0.0225,364
2.7,0.0225,357
2.75,0.0225,351
2.8,0.0225,344
2.85,0.0225,338
2.9,0.0225,333
2.95,0.0225,327
3.0,0.0225,321
3.05,0.0225,316
3.1,0.0225,311
3.15,0.0225,306
3.2,0.0225,301
3.25,0.0225,297
3.3,0.0225,292
3.35,0.0225,288
3.4,0.0225,283
3.45,0.0225,279
3.5,0.0225,275
3.55,0.0225,271
3.6,0.0225,268
3.65,0.0225,264
3.7,0.0225,260
3.75,0.0225,257
3.8,0.0225,253
3.85,0.0225,250
3.9,0.0225,247
3.95,0.0225,210
4.0,0.0225,241
4.05,0.0225,238
4.1,0.0225,215
4.15,0.0225,232
4.2,0.0225,229
4.25,0.0225,226
4.3,0.0225,224
4.35,0.0225,217
4.4,0.0225,200
4.45,0.0225,216
4.5,0.0225,184
4.55,0.0225,182
4.6,0.0225,180
4.65,0.0225,178
4.7,0.0225,176
4.75,0.0225,202
4.8,0.0225,173
4.85,0.0225,198
4.9,0.0225,169
4.95,0.0225,167
5.0,0.0225,166
0.1,0.025,34006
0.15,0.025,13618
0.2,0.025,9014
0.25,0.025,6123
0.3,0.025,4806
0.35,0.025,3934
0.4,0.025,3270
0.45,0.025,2694
0.5,0.025,2454
0.55,0.025,2152
0.6,0.025,1957
0.65,0.025,1794
0.7,0.025,1686
0.75,0.025,1438
0.8,0.025,1348
0.85,0.025,1268
0.9,0.025,1198
0.95,0.025,1134
1.0,0.025,1078
1.05,0.025,1005
1.1,0.025,980
1.15,0.025,821
1.2,0.025,829
1.25,0.025,755
1.3,0.025,726
1.35,0.025,699
1.4,0.025,674
1.45,0.025,651
1.5,0.025,629
1.55,0.025,609
1.6,0.025,590
1.65,0.025,572
